Type,File name,Nodes count,Nodes in main,Prop
large,git.tensorflow.tdag,261788,125415,0.4790708512231271
large,git.kafka.tdag,120197,15285,0.1271662354301688
large,git.ignite.tdag,143991,7089,0.049232243681896784
large,git.ansible.tdag,246990,46585,0.18861087493420786
large,git.camel.tdag,156099,70818,0.45367363019622164
large,git.cpython.tdag,529659,91998,0.1736928854225077
large,git.hadoop.tdag,110973,24813,0.22359492849612067
large,git.homebrew-core.tdag,1132291,445813,0.39372652436520295
large,git.flutter.tdag,371602,41939,0.11285999537139198
large,git.shardingsphere.tdag,105913,24975,0.2358067470471047
large,git.kotlin.tdag,225538,110978,0.4920589878424035
large,git.bitcoin.tdag,175184,15983,0.09123550095899169
large,git.runtime.tdag,501413,34967,0.0697369234543181
large,git.pandas.tdag,196546,31296,0.15922990037955492
large,git.flink.tdag,126157,33223,0.26334646511885984
large,git.beam.tdag,198905,21280,0.10698574696463135
large,git.git.tdag,187388,23076,0.12314555894721113
large,git.symfony.tdag,131646,17411,0.13225620223933884
large,git.react-native.tdag,112782,34677,0.3074692770122892
large,git.homebrew-cask.tdag,515457,206505,0.4006250763885251
large,git.rails.tdag,152557,44069,0.28886907844281157
large,git.jdk.tdag,253743,25902,0.10207966328135161
large,git.electron.tdag,102066,14591,0.14295651833127584
large,git.fdroiddata.tdag,121925,109326,0.896665983186385
large,git.llvm-project.tdag,1145746,532312,0.4645986108613951
large,git.spark.tdag,332366,39474,0.11876666084978608
large,git.vscode.tdag,232068,63919,0.27543220090663084
large,git.pytorch.tdag,833027,82614,0.09917325608893829
